AWAY_NAME,HOME_NAME,AWAY_GamesWon,AWAY_GamesLost,HOME_GamesWon,HOME_GamesLost,HOMEvsAWAY_winRatio,AWAY_longestWinStreak,AWAY_longestLoseStreak,HOME_longestWinStreak,HOME_longestLoseStreak,AWAY_homeTurfAdvantage,HOME_homeTurfAdvantage,AWAY_nonconsecutiveWins,AWAY_nonconsecutiveLosts,HOME_nonconsecutiveWins,HOME_nonconsecutiveLosts,AWAY TEAM 2P %,AWAY TEAM 3P %,AWAY TEAM FT %,AWAY TEAM ALL throws %,HOME TEAM 2P %,HOME TEAM 3P %,HOME TEAM FT %,HOME TEAM ALL throws %,AWAY TEAM FOULS,HOME TEAM FOULS,AWAY TEAM TO,AWAY TEAM OR,AWAY TEAM DR,HOME TEAM TO,HOME TEAM OR,HOME TEAM DR,Q1 lead HOME vs AWAY,Q2 lead HOME vs AWAY,Q3 lead HOME vs AWAY,Q4 lead HOME vs AWAY,diffPTS_Q2,diffPTS_Q3,finalScoreDifferential,HOME_win
DAL,MIN,0,1,1,0,0,0,1,1,0,-1.0,1.0,0,0,0,0,0.46,0.25,0.82,0.42,0.51,0.27,0.5,0.48,17,12,11,8,37,11,11,29,1,7,-1,2,-3,1,-10,False
GS,NJ,0,2,1,0,0,0,2,1,0,-1.0,0,0,0,0,0,0.49,0.45,0.78,0.48,0.42,0.24,0.67,0.37,15,9,16,12,31,15,13,28,0,2,-2,-10,1,2,-8,False
LAC,UTA,0,2,1,0,0,0,2,1,0,-1.0,1.0,0,0,0,0,0.43,0.21,0.69,0.38,0.49,0.25,0.79,0.47,14,14,17,14,41,18,12,34,1,4,8,4,18,8,22,True
LAL,DEN,2,0,1,1,0,2,0,1,1,1.0,0,0,0,0,1,0.44,0.46,0.72,0.43,0.46,0.22,0.78,0.42,10,17,15,13,34,16,15,33,4,11,8,2,-15,-28,-7,False
MEM,CHI,1,1,1,1,0,1,1,1,1,1.0,1.0,0,1,1,0,0.41,0.23,0.82,0.38,0.49,0.33,0.76,0.47,13,12,18,10,36,19,11,33,5,10,11,14,-12,-7,10,True
MIA,CHA,1,1,0,1,0,1,1,0,1,1.0,0,0,1,0,0,0.5,0.42,0.66,0.48,0.56,0.32,0.66,0.49,17,15,20,11,33,15,13,33,9,17,9,17,18,31,13,True
OKC,HOU,0,1,2,0,0,0,1,2,0,-1.0,1.0,0,0,0,0,0.46,0.17,0.71,0.44,0.42,0.28,0.83,0.39,15,11,20,14,29,11,10,31,4,1,1,0,-15,-20,12,True
PHI,ATL,1,1,1,0,0,1,1,1,0,0.0,0,0,1,0,0,0.49,0.33,0.64,0.46,0.45,0.16,0.63,0.37,11,15,10,13,25,15,17,28,-13,-7,-19,-14,12,19,7,True
POR,PHO,1,1,1,1,0,1,1,1,1,1.0,-1.0,0,1,1,0,0.46,0.53,0.79,0.47,0.57,0.36,0.68,0.52,10,13,14,9,28,15,7,31,-5,-8,-7,-9,6,8,11,True
SAC,ORL,0,2,0,2,0,0,2,0,2,0,-1.0,0,0,0,0,0.49,0.37,0.55,0.48,0.45,0.16,0.71,0.38,13,14,20,9,34,12,12,31,-6,-10,-13,-6,18,31,18,True
