DATE,AWAY_NAME,HOME_NAME,AWAY_2PA,AWAY_2PM,AWAY_3PA,AWAY_3PM,AWAY_FTA,AWAY_FTM,AWAY_TO,AWAY_ORB,AWAY_DRB,HOME_2PA,HOME_2PM,HOME_3PA,HOME_3PM,HOME_FTA,HOME_FTM,HOME_TO,HOME_ORB,HOME_DRB,AWAY_PTS_Q1,HOME_PTS_Q1,AWAY_PTS_Q2,HOME_PTS_Q2,AWAY_PTS_Q3,HOME_PTS_Q3,AWAY_PTS_Q4,HOME_PTS_Q4,AWAY_PTS_FINAL,HOME_PTS_FINAL,HOME_WIN
2008-11-02,MIL,NY,70,32,11,4,30,18,14,10,38,45,18,36,12,18,14,16,11,30,27,23,49,45,75,61,94,86,94,86,False
2008-11-02,MIN,OKC,65,30,12,3,16,16,14,9,29,85,36,3,1,20,13,13,19,31,20,20,47,46,73,70,85,88,85,88,True
2008-11-03,CHI,ORL,73,33,13,5,18,12,18,11,35,53,24,27,9,31,21,19,16,33,21,31,47,50,68,76,93,96,93,96,True
2008-11-03,CLE,DAL,65,30,14,5,32,25,11,18,34,56,26,15,3,26,20,14,9,26,28,16,51,42,72,66,100,81,100,81,False
2008-11-03,DET,CHA,68,34,16,8,11,9,8,16,26,48,23,11,3,35,28,14,8,23,23,14,45,43,76,63,101,83,101,83,False
2008-11-03,GS,MEM,76,30,20,3,14,10,12,17,31,69,32,9,4,21,14,18,11,36,24,29,45,49,67,73,79,90,79,90,True
2008-11-03,SAC,PHI,61,32,15,4,18,15,21,7,21,63,35,13,10,35,25,14,11,23,23,35,48,68,65,93,91,125,91,125,True
2008-11-03,UTA,LAC,67,32,10,0,31,25,10,11,33,53,23,19,6,20,9,19,10,28,16,20,36,35,65,60,89,73,89,73,False
2008-11-04,BOS,HOU,65,37,12,3,27,20,17,14,32,63,27,24,7,28,24,11,15,26,28,22,58,53,81,78,103,99,103,99,False
2008-11-04,DAL,SA,64,36,17,7,5,5,7,9,36,52,23,20,7,20,14,7,8,26,23,16,54,36,76,58,98,81,98,81,False
2008-11-04,PHO,NJ,50,31,18,12,23,16,20,4,36,61,21,22,7,26,23,15,12,23,32,27,65,55,92,77,114,86,114,86,False
2008-11-05,ATL,NO,49,22,30,12,13,7,14,13,32,51,23,20,7,15,12,15,8,27,24,16,46,40,58,62,87,79,87,79,False
2008-11-05,BOS,OKC,66,29,17,7,23,17,14,12,37,71,25,13,6,19,15,15,13,33,21,29,51,44,70,55,96,83,96,83,False
2008-11-05,CHA,NY,74,36,10,5,15,11,19,18,26,51,26,26,12,14,13,21,9,27,20,19,51,51,76,81,98,101,98,101,True
2008-11-05,CHI,CLE,58,23,21,8,27,23,13,8,27,67,32,15,5,33,28,13,11,35,24,30,45,57,71,83,93,107,93,107,True
2008-11-05,DEN,GS,73,37,15,2,25,21,20,14,34,74,40,16,2,36,25,10,17,29,35,28,59,58,80,84,101,111,101,111,True
2008-11-05,DET,TOR,73,36,12,3,22,19,7,10,33,60,28,15,6,21,19,11,6,32,20,23,54,46,76,71,100,93,100,93,False
2008-11-05,LAC,LAL,67,27,23,8,15,10,19,12,32,63,25,22,8,45,32,12,15,39,29,27,51,47,68,72,88,106,88,106,True
2008-11-05,MEM,SAC,48,20,23,11,32,22,18,13,19,64,33,10,6,23,16,19,9,27,17,24,41,48,68,81,95,100,95,100,True
2008-11-05,PHI,MIA,57,22,15,5,26,24,26,11,33,63,33,20,6,28,22,14,12,29,17,24,38,59,63,75,83,106,83,106,True
2008-11-05,PHO,IND,61,38,16,5,29,22,17,8,35,58,28,25,9,27,20,16,8,28,27,38,59,66,90,84,113,103,113,103,False
2008-11-05,POR,UTA,54,22,19,10,27,22,16,15,20,63,35,11,4,22,21,16,12,26,23,23,52,45,78,74,96,103,96,103,True
2008-11-05,SA,MIN,84,44,13,6,28,23,12,9,38,87,39,19,8,28,23,10,11,35,18,18,45,49,74,71,106,106,129,125,False
2008-11-05,WAS,MIL,60,32,18,2,51,34,20,14,30,74,40,17,5,26,17,19,12,33,17,30,45,39,78,66,98,98,104,112,True
2008-11-06,HOU,POR,66,31,12,6,23,19,8,5,31,71,35,18,6,17,13,12,16,32,18,21,51,52,71,74,90,90,99,101,True
2008-11-06,PHI,ORL,78,31,17,5,13,11,14,17,37,57,28,25,9,26,15,10,11,35,16,30,43,54,66,75,88,98,88,98,True
2008-11-07,DAL,DEN,61,26,35,13,16,14,17,17,33,76,31,12,3,40,37,11,14,31,25,26,49,48,72,79,105,108,105,108,True
2008-11-07,DET,NJ,50,18,25,10,39,30,10,12,32,69,32,13,3,36,30,8,14,36,27,14,44,39,70,72,96,103,96,103,True
2008-11-07,HOU,LAC,63,28,16,6,21,18,13,12,34,72,33,11,3,14,8,11,11,29,25,18,49,41,71,66,92,83,92,83,False
2008-11-07,IND,CLE,65,33,25,10,11,11,24,19,25,57,33,20,7,28,24,16,7,23,29,20,48,43,74,71,107,111,107,111,True
